munid,name,found_url,found_date,snippet,trigger_keyword,category,keywords_detected
ADMASTON BROMLEY TP,ADMASTON BROMLEY,https://admastonbromley.com/wp-content/uploads/2025/12/2026-01-05-Resume-Planning-Committee-Agenda-Complete-Agenda-Reduced.pdf,2026-08-04,"...noise abatement measures have been undertaken to ensure that noise levels at the boundary of the residential zone do not create a nuisance for uses in that abutting residential zone. 3.4 Backyard Chickens / Urban Agriculture 3.4.1 The keeping of backyard chickens shall be permitted as an accessory use to a dwelling unit, provided a Backyard Chicken Permit is obtained. For the purposes of this...",Backyard Chickens,CHICKENS,True
ARRAN ELDERSLIE M,ARRAN ELDERSLIE,https://www.arran-elderslie.ca/media/q0upxiuc/april-12-2021-council-minutes.pdf,2026-08-04,"...People’s Health and Our Economy 8.2.6 – SMART Approved Meeting Minutes – January 22, 2021 8.2.7 - MPAC - changes to Ontario Regulation 244/97 under the Aggregate Resources Act (ARA) 8.2.8 – Backyard Chickens – James Miller 8.2.9 – Bruce and Grey Counties Move to Action on Safety and Well-Being 8.2.10 - MPP Walker announces $60,000 Inclusive Community Grant for Grey County Subsequent to further...",Backyard Chickens,CHICKENS,True
BANCROFT TP,BANCROFT,https://www.bancroft.ca/UserFiles/Servers/Server_12235685/Image/Business/Clerk/2025-83 SCHEDULE OF FEES (002).pdf,2026-08-04,"...visits Fence-viewers Remuneration $ 100.00 per hour N Ontario Land Surveyor Deposit As per estimate N Ontario Land Surveyor Fee As per invoice N Legal Fees As per invoice N Appeal to Referee As per Line Fences Act N “The following fees are subject to HST, unless stated otherwise”. SCHEDULE OF FEES Effective January 1, 2026 SCHEDULE F – FINANCE DEPARTMENT HST Returned Items NSF, Stop Payment, Account $40.00 N...",Line Fences Act,FENCES,True
BRUDENELL LYNDOCH AND RAGLAN TP,BRUDENELL LYNDOCH AND RAGLAN,https://blrtownship.ca/wp-content/uploads/2026/06/June-17th-2026-Special-Meeting-Agenda-1.pdf,2026-08-04,"...do not create a nuisance for uses in that abutting residential zone. Page | 41 4.4 Draft Zoning By-Law - June Draft Zoning By-Law - June | Page - 48 Section 3 – General Provisions By-Law #:___ 3.4 Backyard Chickens / Urban Agriculture 3.4.1 The keeping of backyard chickens shall be permitted as an accessory use to a dwelling unit. 3.4.2 Notwithstanding Section 3.22(a)(i) of this By-law to the contrary,...",Backyard Chickens,CHICKENS,True
JAMES TP,JAMES,https://elklake.ca/vertical/sites/%7B698232A1-8BB9-4776-8A5C-60DC366E3EE9%7D/uploads/Dec11-24_Agenda.pdf,2026-08-04,"...07-24: Selection of candidate to serve on Northeastern Public Health Unit Board of Health. 7. New Business: 1. Robert Manseau, Circular Carbon: Requesting support for a feasibility study. 2. MMAH: ‘More Homes Built Faster Act, 2022’ information. 3. OCWA: Proposed 2025 Water Treatment Plant Budget. Pat Roy will attend the January 8th/25 Regular Council Meeting to discuss the budget. 8. Correspondence: 1. OCWA: July...",More Homes Built Faster Act,DC,True
KITCHENER C,KITCHENER,https://pub-kitchener.escribemeetings.com/FileStream.ashx?DocumentId=36867,2026-08-04,"...sufficient reserve sewage system capacity and reserve water system capacity. Regional Official Plan (ROP) The Region of Waterloo is an upper-tier municipality without planning responsibilities. The More Homes Built Faster Act, 2022, (Bill 23) amended the Planning Act by transferring planning responsibilities from certain upper-tier governments across the Province, including the Region of Waterloo to local...",More Homes Built Faster Act,DC,True
LANARK HIGHLANDS TP,LANARK HIGHLANDS,https://pub-lanarkhighlands.escribemeetings.com/FileStream.ashx?DocumentId=14808,2026-08-04,"...fence erected hereafter within the municipality shall conform to the provisions of any Township Fence By-law, as may from time-to-time be enacted under the Municipal Act or the provisions of the Line Fences Act. 4.24.14. Frontage on a Public Highway or Private Road 1. No person shall erect any building or structure in any zone unless the lot upon which such building or structure is to be erected has...",Line Fences Act,FENCES,True
LASALLE TP,LASALLE,https://pub-lasalle.escribemeetings.com/FileStream.ashx?DocumentId=28390,2026-08-04,"...expansion projects for inclusion in the Development Charge Reduction Program application. These would align with housing growth and program requirements. Based on preliminary estimates from the Development Charges Background Study, the County's application requests approximately $41.3 million in provincial funding, toward $45.9 million of development-charge-eligible infrastructure costs. Read the report! Public Petition ‘not...",Development Charges Background Study,DC,True
NEWMARKET TP,NEWMARKET,https://pub-newmarket.escribemeetings.com:443/FileStream.ashx?DocumentId=57512,2026-08-04,"...and, where applicable, refunds or other adjustments. Application Requirements The application must identify up to five eligible projects, each of which must already appear in the Town's most recent DC background study and capital plan. For each project, the Town must provide a scope of work, schedule, and a statement of dependencies — for example, the expected uplift in builder activity arising from a given...",DC Background Study,DC,True
ST THOMAS C,ST THOMAS,https://pub-stthomas.escribemeetings.com:443/FileStream.ashx?DocumentId=5515,2026-08-04,"...involved in undertaking this comprehensive planning project for the Study Area. The preparation of a Secondary Plan was not previously identified in a current Capital Budget year or the previous Development Charges Background Study as initial indications were for the potential for landowner-funded studies. However, this led to a preliminary cost estimate of approximately $750,000 for consultant services, challenges with...",Development Charges Background Study,DC,True
